"county","year","avg_production_mgd","population","pct_weeks_in_drought","avg_drought_severity"
"Fairfax Water",2000,NA,NA,0,0
"Fairfax Water",2001,NA,NA,13.4615384615385,0.571428571428571
"Fairfax Water",2002,NA,NA,86.7924528301887,1.84
"Fairfax Water",2003,NA,NA,0,NA
"Fairfax Water",2004,NA,NA,0,NA
"Fairfax Water",2005,152.25,NA,5.76923076923077,0.428571428571429
"Fairfax Water",2006,158.25,NA,11.5384615384615,0.375
"Fairfax Water",2007,166.25,NA,48.0769230769231,1.20689655172414
"Fairfax Water",2008,144.583333333333,NA,26.4150943396226,0.538461538461538
"Fairfax Water",2009,140.5,1012751,11.5384615384615,0.428571428571429
"Fairfax Water",2010,156.75,1048554,13.4615384615385,0.466666666666667
"Fairfax Water",2011,149.583333333333,1064735,13.4615384615385,0.318181818181818
"Fairfax Water",2012,151.083333333333,1083770,34.6153846153846,0.620689655172414
"Fairfax Water",2013,143.75,1101071,0,0
"Fairfax Water",2014,148.916666666667,1117072,0,0
"Fairfax Water",2015,149.5,1128722,0,0
"Fairfax Water",2016,159.333333333333,1132887,25,0.68421052631579
"Fairfax Water",2017,155.083333333333,1142004,NA,NA
"Fairfax Water",2018,150.916666666667,1143529,NA,NA
"Loudoun Water",2000,NA,NA,0,0
"Loudoun Water",2001,NA,NA,17.3076923076923,0.5625
"Loudoun Water",2002,NA,NA,79.2452830188679,1.58
"Loudoun Water",2003,NA,NA,0,NA
"Loudoun Water",2004,NA,NA,0,NA
"Loudoun Water",2005,18.3333333333333,NA,7.69230769230769,0.571428571428571
"Loudoun Water",2006,19.1666666666667,NA,7.69230769230769,0.222222222222222
"Loudoun Water",2007,22.1666666666667,NA,42.3076923076923,1.03333333333333
"Loudoun Water",2008,21.25,NA,24.5283018867925,0.565217391304348
"Loudoun Water",2009,20.1666666666667,277465,11.5384615384615,0.352941176470588
"Loudoun Water",2010,22.25,291653,25,0.956521739130435
"Loudoun Water",2011,21.4166666666667,303329,25,0.65
"Loudoun Water",2012,22.6666666666667,314980,21.1538461538462,0.478260869565217
"Loudoun Water",2013,22.25,326477,0,0
"Loudoun Water",2014,22.25,338916,0,NA
"Loudoun Water",2015,22.5833333333333,351129,0,0
"Loudoun Water",2016,24.5833333333333,362435,21.1538461538462,0.578947368421053
"Loudoun Water",2017,23.5833333333333,374558,NA,NA
"Loudoun Water",2018,23.25,385143,NA,NA
