"utility","month","year","production_mgd"
"Fairfax Water","January",2005,127
"Fairfax Water","February",2005,123
"Fairfax Water","March",2005,126
"Fairfax Water","April",2005,140
"Fairfax Water","May",2005,153
"Fairfax Water","June",2005,180
"Fairfax Water","July",2005,175
"Fairfax Water","August",2005,184
"Fairfax Water","September",2005,197
"Fairfax Water","October",2005,154
"Fairfax Water","November",2005,135
"Fairfax Water","December",2005,133
"Fairfax Water","January",2006,132
"Fairfax Water","February",2006,129
"Fairfax Water","March",2006,134
"Fairfax Water","April",2006,147
"Fairfax Water","May",2006,170
"Fairfax Water","June",2006,192
"Fairfax Water","July",2006,189
"Fairfax Water","August",2006,220
"Fairfax Water","September",2006,164
"Fairfax Water","October",2006,149
"Fairfax Water","November",2006,137
"Fairfax Water","December",2006,136
"Fairfax Water","January",2007,132
"Fairfax Water","February",2007,128
"Fairfax Water","March",2007,127
"Fairfax Water","April",2007,137
"Fairfax Water","May",2007,183
"Fairfax Water","June",2007,207
"Fairfax Water","July",2007,221
"Fairfax Water","August",2007,210
"Fairfax Water","September",2007,204
"Fairfax Water","October",2007,175
"Fairfax Water","November",2007,139
"Fairfax Water","December",2007,132
"Fairfax Water","January",2008,131
"Fairfax Water","February",2008,122
"Fairfax Water","March",2008,121
"Fairfax Water","April",2008,134
"Fairfax Water","May",2008,145
"Fairfax Water","June",2008,167
"Fairfax Water","July",2008,176
"Fairfax Water","August",2008,191
"Fairfax Water","September",2008,158
"Fairfax Water","October",2008,144
"Fairfax Water","November",2008,124
"Fairfax Water","December",2008,122
"Fairfax Water","January",2009,124
"Fairfax Water","February",2009,120
"Fairfax Water","March",2009,120
"Fairfax Water","April",2009,132
"Fairfax Water","May",2009,134
"Fairfax Water","June",2009,138
"Fairfax Water","July",2009,187
"Fairfax Water","August",2009,172
"Fairfax Water","September",2009,159
"Fairfax Water","October",2009,142
"Fairfax Water","November",2009,130
"Fairfax Water","December",2009,128
"Fairfax Water","January",2010,131
"Fairfax Water","February",2010,129
"Fairfax Water","March",2010,133
"Fairfax Water","April",2010,145
"Fairfax Water","May",2010,163
"Fairfax Water","June",2010,194
"Fairfax Water","July",2010,207
"Fairfax Water","August",2010,183
"Fairfax Water","September",2010,190
"Fairfax Water","October",2010,149
"Fairfax Water","November",2010,127
"Fairfax Water","December",2010,130
"Fairfax Water","January",2011,129
"Fairfax Water","February",2011,126
"Fairfax Water","March",2011,126
"Fairfax Water","April",2011,132
"Fairfax Water","May",2011,149
"Fairfax Water","June",2011,191
"Fairfax Water","July",2011,206
"Fairfax Water","August",2011,184
"Fairfax Water","September",2011,153
"Fairfax Water","October",2011,140
"Fairfax Water","November",2011,132
"Fairfax Water","December",2011,127
"Fairfax Water","January",2012,128
"Fairfax Water","February",2012,123
"Fairfax Water","March",2012,130
"Fairfax Water","April",2012,148
"Fairfax Water","May",2012,158
"Fairfax Water","June",2012,184
"Fairfax Water","July",2012,202
"Fairfax Water","August",2012,181
"Fairfax Water","September",2012,165
"Fairfax Water","October",2012,142
"Fairfax Water","November",2012,127
"Fairfax Water","December",2012,125
"Fairfax Water","January",2013,128
"Fairfax Water","February",2013,125
"Fairfax Water","March",2013,124
"Fairfax Water","April",2013,137
"Fairfax Water","May",2013,149
"Fairfax Water","June",2013,158
"Fairfax Water","July",2013,168
"Fairfax Water","August",2013,164
"Fairfax Water","September",2013,170
"Fairfax Water","October",2013,148
"Fairfax Water","November",2013,129
"Fairfax Water","December",2013,125
"Fairfax Water","January",2014,134
"Fairfax Water","February",2014,134
"Fairfax Water","March",2014,133
"Fairfax Water","April",2014,139
"Fairfax Water","May",2014,152
"Fairfax Water","June",2014,170
"Fairfax Water","July",2014,178
"Fairfax Water","August",2014,173
"Fairfax Water","September",2014,166
"Fairfax Water","October",2014,145
"Fairfax Water","November",2014,135
"Fairfax Water","December",2014,128
"Fairfax Water","January",2015,130
"Fairfax Water","February",2015,133
"Fairfax Water","March",2015,131
"Fairfax Water","April",2015,135
"Fairfax Water","May",2015,161
"Fairfax Water","June",2015,162
"Fairfax Water","July",2015,165
