"year","month","day","statefips","countyfips","value","drought_category"
2000,1,4,51,51059,9,"None"
2000,1,11,51,51059,9,"None"
2000,1,18,51,51059,9,"None"
2000,1,25,51,51059,9,"None"
2000,2,1,51,51059,9,"None"
2000,2,8,51,51059,9,"None"
2000,2,15,51,51059,9,"None"
2000,2,22,51,51059,9,"None"
2000,2,29,51,51059,9,"None"
2000,3,7,51,51059,9,"None"
2000,3,14,51,51059,9,"None"
2000,3,21,51,51059,9,"None"
2000,3,28,51,51059,9,"None"
2000,4,4,51,51059,9,"None"
2000,4,11,51,51059,9,"None"
2000,4,18,51,51059,9,"None"
2000,4,25,51,51059,9,"None"
2000,5,2,51,51059,9,"None"
2000,5,9,51,51059,9,"None"
2000,5,16,51,51059,9,"None"
2000,5,23,51,51059,9,"None"
2000,5,30,51,51059,9,"None"
2000,6,6,51,51059,9,"None"
2000,6,13,51,51059,9,"None"
2000,6,20,51,51059,9,"None"
2000,6,27,51,51059,9,"None"
2000,7,4,51,51059,9,"None"
2000,7,11,51,51059,9,"None"
2000,7,18,51,51059,9,"None"
2000,7,25,51,51059,9,"None"
2000,8,1,51,51059,9,"None"
2000,8,8,51,51059,9,"None"
2000,8,15,51,51059,9,"None"
2000,8,22,51,51059,9,"None"
2000,8,29,51,51059,9,"None"
2000,9,5,51,51059,9,"None"
2000,9,12,51,51059,9,"None"
2000,9,19,51,51059,9,"None"
2000,9,26,51,51059,9,"None"
2000,10,3,51,51059,9,"None"
2000,10,10,51,51059,9,"None"
2000,10,17,51,51059,9,"None"
2000,10,24,51,51059,9,"None"
2000,10,31,51,51059,0,"D0 ~ Abnormally Dry"
2000,11,7,51,51059,0,"D0 ~ Abnormally Dry"
2000,11,14,51,51059,0,"D0 ~ Abnormally Dry"
2000,11,21,51,51059,0,"D0 ~ Abnormally Dry"
2000,11,28,51,51059,9,"None"
2000,12,5,51,51059,9,"None"
2000,12,12,51,51059,9,"None"
2000,12,19,51,51059,9,"None"
2000,12,26,51,51059,9,"None"
2001,1,2,51,51059,9,"None"
2001,1,9,51,51059,9,"None"
2001,1,16,51,51059,9,"None"
2001,1,23,51,51059,9,"None"
2001,1,30,51,51059,9,"None"
2001,2,6,51,51059,9,"None"
2001,2,13,51,51059,9,"None"
2001,2,20,51,51059,9,"None"
2001,2,27,51,51059,9,"None"
2001,3,6,51,51059,9,"None"
2001,3,13,51,51059,9,"None"
2001,3,20,51,51059,9,"None"
2001,3,27,51,51059,9,"None"
2001,4,3,51,51059,9,"None"
2001,4,10,51,51059,9,"None"
2001,4,17,51,51059,9,"None"
2001,4,24,51,51059,9,"None"
2001,5,1,51,51059,9,"None"
2001,5,8,51,51059,0,"D0 ~ Abnormally Dry"
2001,5,15,51,51059,1,"D1 ~ Moderate Drought"
2001,5,22,51,51059,0,"D0 ~ Abnormally Dry"
2001,5,29,51,51059,9,"None"
2001,6,5,51,51059,9,"None"
2001,6,12,51,51059,9,"None"
2001,6,19,51,51059,9,"None"
2001,6,26,51,51059,9,"None"
2001,7,3,51,51059,9,"None"
2001,7,10,51,51059,9,"None"
2001,7,17,51,51059,9,"None"
2001,7,24,51,51059,9,"None"
2001,7,31,51,51059,9,"None"
2001,8,7,51,51059,9,"None"
2001,8,14,51,51059,9,"None"
2001,8,21,51,51059,9,"None"
2001,8,28,51,51059,9,"None"
2001,9,4,51,51059,9,"None"
2001,9,11,51,51059,9,"None"
2001,9,18,51,51059,0,"D0 ~ Abnormally Dry"
2001,9,25,51,51059,9,"None"
2001,10,2,51,51059,9,"None"
2001,10,9,51,51059,9,"None"
2001,10,16,51,51059,9,"None"
2001,10,23,51,51059,0,"D0 ~ Abnormally Dry"
2001,10,30,51,51059,0,"D0 ~ Abnormally Dry"
2001,11,6,51,51059,0,"D0 ~ Abnormally Dry"
2001,11,13,51,51059,0,"D0 ~ Abnormally Dry"
2001,11,20,51,51059,1,"D1 ~ Moderate Drought"
2001,11,27,51,51059,1,"D1 ~ Moderate Drought"
2001,12,4,51,51059,1,"D1 ~ Moderate Drought"
2001,12,11,51,51059,1,"D1 ~ Moderate Drought"
2001,12,18,51,51059,2,"D2 ~ Severe Drought"
2001,12,25,51,51059,1,"D1 ~ Moderate Drought"
2002,1,1,51,51059,1,"D1 ~ Moderate Drought"
2002,1,8,51,51059,1,"D1 ~ Moderate Drought"
2002,1,15,51,51059,1,"D1 ~ Moderate Drought"
2002,1,22,51,51059,1,"D1 ~ Moderate Drought"
2002,1,29,51,51059,1,"D1 ~ Moderate Drought"
2002,2,5,51,51059,1,"D1 ~ Moderate Drought"
2002,2,12,51,51059,2,"D2 ~ Severe Drought"
2002,2,19,51,51059,3,"D3 ~ Extreme Drought"
2002,2,26,51,51059,3,"D3 ~ Extreme Drought"
2002,3,5,51,51059,3,"D3 ~ Extreme Drought"
2002,3,12,51,51059,3,"D3 ~ Extreme Drought"
2002,3,19,51,51059,3,"D3 ~ Extreme Drought"
2002,3,26,51,51059,3,"D3 ~ Extreme Drought"
2002,4,2,51,51059,3,"D3 ~ Extreme Drought"
2002,4,9,51,51059,3,"D3 ~ Extreme Drought"
2002,4,16,51,51059,3,"D3 ~ Extreme Drought"
2002,4,23,51,51059,3,"D3 ~ Extreme Drought"
2002,4,30,51,51059,2,"D2 ~ Severe Drought"
2002,5,7,51,51059,2,"D2 ~ Severe Drought"
2002,5,14,51,51059,2,"D2 ~ Severe Drought"
2002,5,21,51,51059,1,"D1 ~ Moderate Drought"
2002,5,28,51,51059,1,"D1 ~ Moderate Drought"
2002,6,4,51,51059,1,"D1 ~ Moderate Drought"
2002,6,11,51,51059,1,"D1 ~ Moderate Drought"
2002,6,18,51,51059,1,"D1 ~ Moderate Drought"
2002,6,25,51,51059,2,"D2 ~ Severe Drought"
2002,7,2,51,51059,1,"D1 ~ Moderate Drought"
2002,7,9,51,51059,2,"D2 ~ Severe Drought"
2002,7,16,51,51059,2,"D2 ~ Severe Drought"
2002,7,23,51,51059,3,"D3 ~ Extreme Drought"
2002,7,30,51,51059,3,"D3 ~ Extreme Drought"
2002,8,6,51,51059,2,"D2 ~ Severe Drought"
2002,8,13,51,51059,2,"D2 ~ Severe Drought"
2002,8,20,51,51059,4,"D4 ~ Exceptional Drought"
2002,8,27,51,51059,3,"D3 ~ Extreme Drought"
2002,9,3,51,51059,2,"D2 ~ Severe Drought"
2002,9,10,51,51059,1,"D1 ~ Moderate Drought"
2002,9,17,51,51059,2,"D2 ~ Severe Drought"
2002,9,24,51,51059,2,"D2 ~ Severe Drought"
2002,10,1,51,51059,2,"D2 ~ Severe Drought"
2002,10,8,51,51059,2,"D2 ~ Severe Drought"
2002,10,15,51,51059,2,"D2 ~ Severe Drought"
2002,10,22,51,51059,2,"D2 ~ Severe Drought"
2002,10,29,51,51059,2,"D2 ~ Severe Drought"
2002,11,5,51,51059,1,"D1 ~ Moderate Drought"
2002,11,12,51,51059,1,"D1 ~ Moderate Drought"
2002,11,19,51,51059,0,"D0 ~ Abnormally Dry"
2002,11,26,51,51059,0,"D0 ~ Abnormally Dry"
2002,12,3,51,51059,0,"D0 ~ Abnormally Dry"
2002,12,10,51,51059,0,"D0 ~ Abnormally Dry"
2002,12,17,51,51059,9,"None"
2002,12,24,51,51059,9,"None"
2002,12,31,51,51059,9,"None"
2003,1,7,51,51059,9,"None"
2003,1,14,51,51059,9,"None"
