"GEOID","NAME","variable","estimate","moe","acs_end_year"
"51059","Fairfax County, Virginia","B01003_001",1012751,0,2009
"51107","Loudoun County, Virginia","B01003_001",277465,0,2009
"51059","Fairfax County, Virginia","B01003_001",1048554,NA,2010
"51107","Loudoun County, Virginia","B01003_001",291653,NA,2010
"51059","Fairfax County, Virginia","B01003_001",1064735,NA,2011
"51107","Loudoun County, Virginia","B01003_001",303329,NA,2011
"51059","Fairfax County, Virginia","B01003_001",1083770,NA,2012
"51107","Loudoun County, Virginia","B01003_001",314980,NA,2012
"51059","Fairfax County, Virginia","B01003_001",1101071,NA,2013
"51107","Loudoun County, Virginia","B01003_001",326477,NA,2013
"51059","Fairfax County, Virginia","B01003_001",1117072,NA,2014
"51107","Loudoun County, Virginia","B01003_001",338916,NA,2014
"51059","Fairfax County, Virginia","B01003_001",1128722,NA,2015
"51107","Loudoun County, Virginia","B01003_001",351129,NA,2015
"51059","Fairfax County, Virginia","B01003_001",1132887,NA,2016
"51107","Loudoun County, Virginia","B01003_001",362435,NA,2016
"51059","Fairfax County, Virginia","B01003_001",1142004,NA,2017
"51107","Loudoun County, Virginia","B01003_001",374558,NA,2017
"51059","Fairfax County, Virginia","B01003_001",1143529,NA,2018
"51107","Loudoun County, Virginia","B01003_001",385143,NA,2018
