"utility","month","year","production_mgd"
"Fairfax Water","January",2005,127
"Fairfax Water","January",2006,132
"Fairfax Water","January",2007,132
"Fairfax Water","January",2008,131
"Fairfax Water","January",2009,124
"Fairfax Water","January",2010,131
"Fairfax Water","January",2011,129
"Fairfax Water","January",2012,128
"Fairfax Water","January",2013,128
"Fairfax Water","February",2005,123
"Fairfax Water","February",2006,129
"Fairfax Water","February",2007,128
"Fairfax Water","February",2008,122
"Fairfax Water","February",2009,120
"Fairfax Water","February",2010,129
"Fairfax Water","February",2011,126
"Fairfax Water","February",2012,123
"Fairfax Water","February",2013,125
"Fairfax Water","March",2005,126
"Fairfax Water","March",2006,134
"Fairfax Water","March",2007,127
"Fairfax Water","March",2008,121
"Fairfax Water","March",2009,120
"Fairfax Water","March",2010,133
"Fairfax Water","March",2011,126
"Fairfax Water","March",2012,130
"Fairfax Water","March",2013,124
"Fairfax Water","April",2005,140
"Fairfax Water","April",2006,147
"Fairfax Water","April",2007,137
"Fairfax Water","April",2008,134
"Fairfax Water","April",2009,132
"Fairfax Water","April",2010,145
"Fairfax Water","April",2011,132
"Fairfax Water","April",2012,148
"Fairfax Water","April",2013,137
"Fairfax Water","May",2005,153
"Fairfax Water","May",2006,170
"Fairfax Water","May",2007,183
"Fairfax Water","May",2008,145
"Fairfax Water","May",2009,134
"Fairfax Water","May",2010,163
"Fairfax Water","May",2011,149
"Fairfax Water","May",2012,158
"Fairfax Water","May",2013,149
"Fairfax Water","June",2005,180
"Fairfax Water","June",2006,192
"Fairfax Water","June",2007,207
"Fairfax Water","June",2008,167
"Fairfax Water","June",2009,138
"Fairfax Water","June",2010,194
"Fairfax Water","June",2011,191
"Fairfax Water","June",2012,184
"Fairfax Water","June",2013,158
"Fairfax Water","July",2005,175
"Fairfax Water","July",2006,189
"Fairfax Water","July",2007,221
"Fairfax Water","July",2008,176
"Fairfax Water","July",2009,187
"Fairfax Water","July",2010,207
"Fairfax Water","July",2011,206
"Fairfax Water","July",2012,202
"Fairfax Water","July",2013,168
"Fairfax Water","August",2005,184
"Fairfax Water","August",2006,220
"Fairfax Water","August",2007,210
"Fairfax Water","August",2008,191
"Fairfax Water","August",2009,172
"Fairfax Water","August",2010,183
"Fairfax Water","August",2011,184
"Fairfax Water","August",2012,181
"Fairfax Water","August",2013,164
"Fairfax Water","September",2005,197
"Fairfax Water","September",2006,164
"Fairfax Water","September",2007,204
"Fairfax Water","September",2008,158
"Fairfax Water","September",2009,159
"Fairfax Water","September",2010,190
"Fairfax Water","September",2011,153
"Fairfax Water","September",2012,165
"Fairfax Water","September",2013,170
"Fairfax Water","October",2005,154
"Fairfax Water","October",2006,149
"Fairfax Water","October",2007,175
"Fairfax Water","October",2008,144
"Fairfax Water","October",2009,142
"Fairfax Water","October",2010,149
"Fairfax Water","October",2011,140
"Fairfax Water","October",2012,142
"Fairfax Water","October",2013,148
"Fairfax Water","November",2005,135
"Fairfax Water","November",2006,137
"Fairfax Water","November",2007,139
"Fairfax Water","November",2008,124
"Fairfax Water","November",2009,130
"Fairfax Water","November",2010,127
"Fairfax Water","November",2011,132
"Fairfax Water","November",2012,127
"Fairfax Water","November",2013,129
"Fairfax Water","December",2005,133
"Fairfax Water","December",2006,136
"Fairfax Water","December",2007,132
"Fairfax Water","December",2008,122
"Fairfax Water","December",2009,128
"Fairfax Water","December",2010,130
"Fairfax Water","December",2011,127
"Fairfax Water","December",2012,125
"Fairfax Water","December",2013,125
"Loudoun Water (Purchased)","January",2005,14
"Loudoun Water (Purchased)","January",2006,15
"Loudoun Water (Purchased)","January",2007,15
"Loudoun Water (Purchased)","January",2008,16
"Loudoun Water (Purchased)","January",2009,16
"Loudoun Water (Purchased)","January",2010,17
"Loudoun Water (Purchased)","January",2011,17
"Loudoun Water (Purchased)","January",2012,17
"Loudoun Water (Purchased)","January",2013,18
"Loudoun Water (Purchased)","February",2005,14
"Loudoun Water (Purchased)","February",2006,15
"Loudoun Water (Purchased)","February",2007,16
"Loudoun Water (Purchased)","February",2008,16
"Loudoun Water (Purchased)","February",2009,16
"Loudoun Water (Purchased)","February",2010,17
"Loudoun Water (Purchased)","February",2011,17
"Loudoun Water (Purchased)","February",2012,17
"Loudoun Water (Purchased)","February",2013,17
"Loudoun Water (Purchased)","March",2005,14
"Loudoun Water (Purchased)","March",2006,15
"Loudoun Water (Purchased)","March",2007,16
"Loudoun Water (Purchased)","March",2008,16
"Loudoun Water (Purchased)","March",2009,16
"Loudoun Water (Purchased)","March",2010,17
"Loudoun Water (Purchased)","March",2011,17
"Loudoun Water (Purchased)","March",2012,18
"Loudoun Water (Purchased)","March",2013,18
"Loudoun Water (Purchased)","April",2005,16
"Loudoun Water (Purchased)","April",2006,18
"Loudoun Water (Purchased)","April",2007,18
"Loudoun Water (Purchased)","April",2008,20
"Loudoun Water (Purchased)","April",2009,20
"Loudoun Water (Purchased)","April",2010,22
"Loudoun Water (Purchased)","April",2011,17
"Loudoun Water (Purchased)","April",2012,23
"Loudoun Water (Purchased)","April",2013,22
"Loudoun Water (Purchased)","May",2005,18
"Loudoun Water (Purchased)","May",2006,22
"Loudoun Water (Purchased)","May",2007,27
"Loudoun Water (Purchased)","May",2008,22
"Loudoun Water (Purchased)","May",2009,19
"Loudoun Water (Purchased)","May",2010,24
"Loudoun Water (Purchased)","May",2011,20
"Loudoun Water (Purchased)","May",2012,25
"Loudoun Water (Purchased)","May",2013,24
"Loudoun Water (Purchased)","June",2005,22
"Loudoun Water (Purchased)","June",2006,23
"Loudoun Water (Purchased)","June",2007,31
"Loudoun Water (Purchased)","June",2008,27
"Loudoun Water (Purchased)","June",2009,22
"Loudoun Water (Purchased)","June",2010,30
"Loudoun Water (Purchased)","June",2011,32
"Loudoun Water (Purchased)","June",2012,30
"Loudoun Water (Purchased)","June",2013,26
"Loudoun Water (Purchased)","July",2005,22
"Loudoun Water (Purchased)","July",2006,26
"Loudoun Water (Purchased)","July",2007,34
"Loudoun Water (Purchased)","July",2008,29
"Loudoun Water (Purchased)","July",2009,29
"Loudoun Water (Purchased)","July",2010,31
"Loudoun Water (Purchased)","July",2011,34
"Loudoun Water (Purchased)","July",2012,33
"Loudoun Water (Purchased)","July",2013,28
"Loudoun Water (Purchased)","August",2005,24
"Loudoun Water (Purchased)","August",2006,30
"Loudoun Water (Purchased)","August",2007,30
"Loudoun Water (Purchased)","August",2008,30
"Loudoun Water (Purchased)","August",2009,28
"Loudoun Water (Purchased)","August",2010,27
"Loudoun Water (Purchased)","August",2011,29
"Loudoun Water (Purchased)","August",2012,28
"Loudoun Water (Purchased)","August",2013,27
"Loudoun Water (Purchased)","September",2005,26
"Loudoun Water (Purchased)","September",2006,20
"Loudoun Water (Purchased)","September",2007,28
"Loudoun Water (Purchased)","September",2008,25
"Loudoun Water (Purchased)","September",2009,24
"Loudoun Water (Purchased)","September",2010,28
"Loudoun Water (Purchased)","September",2011,21
"Loudoun Water (Purchased)","September",2012,25
"Loudoun Water (Purchased)","September",2013,28
"Loudoun Water (Purchased)","October",2005,19
"Loudoun Water (Purchased)","October",2006,17
"Loudoun Water (Purchased)","October",2007,19
"Loudoun Water (Purchased)","October",2008,21
"Loudoun Water (Purchased)","October",2009,19
"Loudoun Water (Purchased)","October",2010,20
"Loudoun Water (Purchased)","October",2011,19
"Loudoun Water (Purchased)","October",2012,21
"Loudoun Water (Purchased)","October",2013,22
"Loudoun Water (Purchased)","November",2005,16
"Loudoun Water (Purchased)","November",2006,16
"Loudoun Water (Purchased)","November",2007,16
"Loudoun Water (Purchased)","November",2008,17
"Loudoun Water (Purchased)","November",2009,17
"Loudoun Water (Purchased)","November",2010,17
"Loudoun Water (Purchased)","November",2011,17
"Loudoun Water (Purchased)","November",2012,18
"Loudoun Water (Purchased)","November",2013,19
"Loudoun Water (Purchased)","December",2005,15
"Loudoun Water (Purchased)","December",2006,13
"Loudoun Water (Purchased)","December",2007,16
"Loudoun Water (Purchased)","December",2008,16
"Loudoun Water (Purchased)","December",2009,16
"Loudoun Water (Purchased)","December",2010,17
"Loudoun Water (Purchased)","December",2011,17
"Loudoun Water (Purchased)","December",2012,17
"Loudoun Water (Purchased)","December",2013,18
